,Date,Sentiment,Open,Close,NextDayClose,Volume,MarketCap,NextDayChange,Change
32,1-Apr-17,0.223628692,50.03,50.7,48.75,"92,461,900","4,517,510,000",-1.95,Decrease
33,2-Apr-17,0.463114754,50.74,48.75,44.36,"134,604,000","4,582,700,000",-4.39,Decrease
34,3-Apr-17,0.145945946,48.82,44.36,44.64,"190,513,000","4,411,030,000",0.28,Increase
35,4-Apr-17,0.409937888,43.92,44.64,45.3,"157,568,000","3,969,730,000",0.66,Increase
36,5-Apr-17,-0.075471698,44.66,45.3,43.24,"119,733,000","4,037,940,000",-2.06,Decrease
37,6-Apr-17,0.608040201,45.22,43.24,42.16,"147,120,000","4,089,930,000",-1.08,Decrease
38,7-Apr-17,0.270386266,42.87,42.16,44.31,"81,474,700","3,878,210,000",2.15,Increase
39,8-Apr-17,0.408045977,41.8,44.31,43.27,"74,138,800","3,783,000,000",-1.04,Decrease
40,9-Apr-17,0.601036269,44.28,43.27,43.44,"55,143,000","4,009,010,000",0.17,Increase
41,10-Apr-17,0.449704142,43.28,43.44,43.41,"44,061,500","3,919,520,000",-0.03,Decrease
42,11-Apr-17,0.049327354,43.5,43.41,46.29,"38,303,300","3,941,100,000",2.88,Increase
43,12-Apr-17,0.447513812,43.46,46.29,50.22,"88,045,700","3,938,930,000",3.93,Increase
44,13-Apr-17,0.408888889,46.31,50.22,47.57,"157,200,000","4,198,420,000",-2.65,Decrease
45,14-Apr-17,0.761061947,49.97,47.57,49.1,"91,674,400","4,531,810,000",1.53,Increase
46,15-Apr-17,0.862244898,47.65,49.1,48.72,"66,207,800","4,323,100,000",-0.38,Decrease
47,16-Apr-17,0.788888889,49.04,48.72,48.3,"31,343,800","4,450,140,000",-0.42,Decrease
48,17-Apr-17,0.623655914,48.66,48.3,50.71,"44,013,300","4,417,310,000",2.41,Increase
49,18-Apr-17,0.129032258,48.32,50.71,48.31,"78,748,500","4,387,860,000",-2.4,Decrease
50,19-Apr-17,0.222857143,50.73,48.31,49.67,"76,281,000","4,608,260,000",1.36,Increase
51,20-Apr-17,0.651612903,48.13,49.67,48.22,"79,600,900","4,373,800,000",-1.45,Decrease
52,21-Apr-17,0.397660819,49.64,48.22,48.55,"45,048,300","4,512,610,000",0.33,Increase
53,22-Apr-17,0.425149701,48.18,48.55,48.49,"37,357,600","4,381,290,000",-0.06,Decrease
54,23-Apr-17,0.436936937,48.59,48.49,50.03,"36,234,000","4,420,040,000",1.54,Increase
55,24-Apr-17,0.617142857,48.87,50.03,49.89,"55,580,600","4,446,470,000",-0.14,Decrease
56,25-Apr-17,0.404371585,50.07,49.89,52.72,"38,264,600","4,557,870,000",2.83,Increase
57,26-Apr-17,0.560209424,49.91,52.72,62.17,"104,884,000","4,544,370,000",9.45,Increase
58,27-Apr-17,0.260869565,52.81,62.17,70.16,"246,775,000","4,809,630,000",7.99,Increase
59,28-Apr-17,0.251256281,62.23,70.16,68.38,"346,546,000","5,669,550,000",-1.78,Decrease
60,29-Apr-17,0.525490196,71.39,68.38,79.02,"165,448,000","6,506,490,000",10.64,Increase
61,30-Apr-17,0.383886256,68.54,79.02,76.3,"229,945,000","6,248,840,000",-2.72,Decrease
62,1-May-17,0.731707317,79.32,76.3,77.26,"376,842,000","7,234,070,000",0.96,Increase
63,2-May-17,0.424050633,76.65,77.26,79.72,"193,773,000","6,992,980,000",2.46,Increase
64,3-May-17,0.23880597,77.25,79.72,96.98,"141,922,000","7,050,050,000",17.26,Increase
65,4-May-17,0.569306931,79.72,96.98,94.4,"366,847,000","7,277,480,000",-2.58,Decrease
66,5-May-17,0.556862745,96.73,94.4,97.81,"331,928,000","8,833,520,000",3.41,Increase
67,6-May-17,0.604395604,94.91,97.81,94.01,"151,462,000","8,669,910,000",-3.8,Decrease
68,7-May-17,0.965116279,97.87,94.01,91.42,"183,295,000","8,942,950,000",-2.59,Decrease
69,8-May-17,0.559322034,93.75,91.42,91.16,"231,344,000","8,569,060,000",-0.26,Decrease
70,9-May-17,0.797101449,91.23,91.16,89.52,"363,434,000","8,341,490,000",-1.64,Decrease
71,10-May-17,0.556053812,91.15,89.52,89.88,"145,602,000","8,337,180,000",0.36,Increase
72,11-May-17,0.853107345,89.77,89.88,88.66,"132,722,000","8,213,570,000",-1.22,Decrease
73,12-May-17,0.4,89.43,88.66,90.84,"145,825,000","8,184,930,000",2.18,Increase
74,13-May-17,0.352564103,88.69,90.84,90.79,"88,742,200","8,120,390,000",-0.05,Decrease
75,14-May-17,0.411392405,90.87,90.79,92.41,"66,046,600","8,322,380,000",1.62,Increase
76,15-May-17,0.111111111,90.78,92.41,89.44,"170,999,000","8,316,930,000",-2.97,Decrease
77,16-May-17,0.455813953,92.39,89.44,89.86,"152,285,000","8,466,470,000",0.42,Increase
78,17-May-17,0.329218107,89.25,89.86,96.91,"183,031,000","8,181,520,000",7.05,Increase
79,18-May-17,0.470588235,89.84,96.91,129.53,"196,237,000","8,238,110,000",32.62,Increase
80,19-May-17,0.048689139,97.05,129.53,126.52,"626,945,000","8,902,240,000",-3.01,Decrease
81,20-May-17,0.820627803,129.22,126.52,157.94,"331,455,000","11,856,600,000",31.42,Increase
82,21-May-17,0.357664234,127.54,157.94,174.26,"570,361,000","11,705,700,000",16.32,Increase
83,22-May-17,0.214285714,158.17,174.26,181.95,"1,188,910,000","14,522,100,000",7.69,Increase
84,23-May-17,0.148148148,170.82,181.95,190.05,"530,709,000","15,688,000,000",8.1,Increase
85,24-May-17,0.189054726,182.65,190.05,174.45,"561,014,000","16,779,700,000",-15.6,Decrease
86,25-May-17,0.278074866,189.85,174.45,160.4,"943,637,000","17,446,600,000",-14.05,Decrease
87,26-May-17,0.410958904,175.22,160.4,157.76,"792,458,000","16,107,000,000",-2.64,Decrease
88,27-May-17,0.29245283,159.82,157.76,170.51,"1,217,060,000","14,696,000,000",12.75,Increase
89,28-May-17,0.623255814,158.82,170.51,194.91,"717,971,000","14,608,600,000",24.4,Increase
90,29-May-17,0.151376147,170.13,194.91,231.91,"718,828,000","15,654,600,000",37,Increase
91,30-May-17,0.272340426,195.61,231.91,230.67,"1,586,670,000","18,004,700,000",-1.24,Decrease
92,31-May-17,0.107692308,231.58,230.67,222.24,"1,271,600,000","21,321,900,000",-8.43,Decrease
93,1-Jun-17,0.355731225,230.89,222.24,223.78,"812,924,000","21,264,800,000",1.54,Increase
94,2-Jun-17,0.448,222.29,223.78,224.38,"469,532,000","20,479,000,000",0.6,Increase
95,3-Jun-17,0.092664093,223.46,224.38,245.33,"427,896,000","20,593,500,000",20.95,Increase
96,4-Jun-17,0.463519313,224.12,245.33,248.46,"753,820,000","20,659,800,000",3.13,Increase
97,5-Jun-17,0.308695652,245.26,248.46,264.47,"435,660,000","22,615,800,000",16.01,Increase
98,6-Jun-17,0.271255061,248.6,264.47,258.07,"741,553,000","22,930,400,000",-6.4,Decrease
99,7-Jun-17,0.4375,264.26,258.07,261.67,"461,649,000","24,382,200,000",3.6,Increase
100,8-Jun-17,0.212435233,257.99,261.67,281.74,"385,494,000","23,810,900,000",20.07,Increase
101,9-Jun-17,0.427083333,261.75,281.74,337.67,"557,986,000","24,165,000,000",55.93,Increase
102,10-Jun-17,0.314984709,282.01,337.67,340.61,"1,611,630,000","26,043,700,000",2.94,Increase
103,11-Jun-17,0.272727273,338.79,340.61,401.49,"1,373,220,000","31,296,800,000",60.88,Increase
104,12-Jun-17,0.166089965,341.16,401.49,397.54,"2,882,650,000","31,525,300,000",-3.95,Decrease
105,13-Jun-17,0.571428571,395.69,397.54,359.05,"1,717,380,000","36,574,500,000",-38.49,Decrease
106,14-Jun-17,0.423611111,397.59,359.05,361.93,"1,272,580,000","36,761,600,000",2.88,Increase
107,15-Jun-17,0.280991736,358.51,361.93,370.23,"2,463,450,000","33,158,200,000",8.3,Increase
108,16-Jun-17,0.317948718,361.18,370.23,379.41,"1,096,280,000","33,415,800,000",9.18,Increase
109,17-Jun-17,0.398230088,369.88,379.41,371.46,"904,653,000","34,231,300,000",-7.95,Decrease
110,18-Jun-17,0.262222222,379.52,371.46,370.06,"904,703,000","35,133,800,000",-1.4,Decrease
111,19-Jun-17,0.620915033,371.86,370.06,359,"685,172,000","34,435,700,000",-11.06,Decrease
112,20-Jun-17,0.209401709,370.33,359,336.87,"1,020,390,000","34,304,000,000",-22.13,Decrease
113,21-Jun-17,0.053278689,359.54,336.87,336.37,"1,420,130,000","33,310,500,000",-0.5,Decrease
114,22-Jun-17,0.161825726,337.73,336.37,341.74,"925,767,000","31,302,600,000",5.37,Increase
115,23-Jun-17,0.210300429,336.49,341.74,323.7,"593,207,000","31,195,900,000",-18.04,Decrease
116,24-Jun-17,0.281481481,341.63,323.7,303.25,"673,585,000","31,681,300,000",-20.45,Decrease
117,25-Jun-17,0.511363636,323.47,303.25,272.69,"1,186,880,000","30,005,900,000",-30.56,Decrease
118,26-Jun-17,0.268292683,302.95,272.69,293.09,"2,081,810,000","28,111,200,000",20.4,Increase
119,27-Jun-17,0.689781022,272.69,293.09,327.93,"1,973,870,000","25,309,700,000",34.84,Increase
120,28-Jun-17,0.217213115,293.04,327.93,302.88,"2,056,550,000","27,207,000,000",-25.05,Decrease
121,29-Jun-17,0.481481481,328.37,302.88,294.92,"1,508,580,000","30,495,300,000",-7.96,Decrease
122,30-Jun-17,0.652317881,303.15,294.92,274.6,"1,011,800,000","28,161,900,000",-20.32,Decrease
123,1-Jul-17,0.761133603,293.35,274.6,287.99,"1,089,200,000","27,259,400,000",13.39,Increase
124,2-Jul-17,0.75862069,275.12,287.99,282.9,"1,123,330,000","25,572,800,000",-5.09,Decrease
125,3-Jul-17,0.85840708,288.41,282.9,273.3,"851,408,000","26,815,900,000",-9.6,Decrease
126,4-Jul-17,0.34841629,282.19,273.3,268.77,"687,691,000","26,245,000,000",-4.53,Decrease
127,5-Jul-17,0.3125,273.1,268.77,270.55,"790,256,000","25,406,900,000",1.78,Increase
128,6-Jul-17,0.434579439,268.86,270.55,245.99,"623,080,000","25,019,500,000",-24.56,Decrease
129,7-Jul-17,1.147368421,270.35,245.99,251.7,"687,252,000","25,160,800,000",5.71,Increase
130,8-Jul-17,0.454935622,245.89,251.7,242.14,"754,958,000","22,890,700,000",-9.56,Decrease
131,9-Jul-17,0.435294118,251.82,242.14,215.36,"505,118,000","23,454,700,000",-26.78,Decrease
132,10-Jul-17,0.137704918,243.01,215.36,197.4,"937,219,000","22,640,500,000",-17.96,Decrease
133,11-Jul-17,0.32195122,211.53,197.4,230.77,"1,440,950,000","19,712,300,000",33.37,Increase
134,12-Jul-17,0.181415929,197.15,230.77,209.73,"1,241,190,000","18,377,600,000",-21.04,Decrease
135,13-Jul-17,0.303738318,231.81,209.73,199.66,"828,489,000","21,613,900,000",-10.07,Decrease
136,14-Jul-17,0.066371681,209.53,199.66,170.66,"749,382,000","19,541,300,000",-29,Decrease
137,15-Jul-17,0.265217391,199.71,170.66,157.36,"810,452,000","18,630,200,000",-13.3,Decrease
138,16-Jul-17,0.157894737,169.57,157.36,193.42,"1,516,890,000","15,823,100,000",36.06,Increase
139,17-Jul-17,0.371584699,159.99,193.42,234.39,"1,669,500,000","14,932,700,000",40.97,Increase
140,18-Jul-17,0.08839779,195.03,234.39,199.7,"2,709,260,000","18,207,400,000",-34.69,Decrease
141,19-Jul-17,-0.204545455,234.94,199.7,227.26,"2,328,790,000","21,939,300,000",27.56,Increase
142,20-Jul-17,0.350253807,205.42,227.26,218.31,"2,225,000,000","19,187,800,000",-8.95,Decrease
143,21-Jul-17,0.340336134,226.06,218.31,229.48,"1,006,130,000","21,121,100,000",11.17,Increase
144,22-Jul-17,0.520467836,217.86,229.48,225.95,"618,260,000","20,360,100,000",-3.53,Decrease
145,23-Jul-17,0.22519084,229.12,225.95,224.71,"649,615,000","21,418,300,000",-1.24,Decrease
146,24-Jul-17,0.532915361,226.28,224.71,206.71,"431,691,000","21,158,500,000",-18,Decrease
147,25-Jul-17,0.346153846,224.37,206.71,203.95,"1,095,760,000","20,985,200,000",-2.76,Decrease
148,26-Jul-17,0.115577889,207.09,203.95,204.32,"717,692,000","19,373,400,000",0.37,Increase
149,27-Jul-17,0.41025641,204.86,204.32,193.12,"393,283,000","19,169,800,000",-11.2,Decrease
150,28-Jul-17,0.544502618,204.32,193.12,205.79,"562,571,000","19,125,100,000",12.67,Increase
151,29-Jul-17,0.578723404,193.34,205.79,197.98,"824,355,000","18,101,800,000",-7.81,Decrease
152,30-Jul-17,0.422053232,206.74,197.98,203.87,"596,234,000","19,360,900,000",5.89,Increase
153,31-Jul-17,0.527918782,197.41,203.87,226.77,"569,414,000","18,492,000,000",22.9,Increase
154,1-Aug-17,0.432989691,204.69,226.77,219.95,"1,585,330,000","19,179,100,000",-6.82,Decrease
155,2-Aug-17,0.506896552,227.01,219.95,225.34,"632,606,000","21,275,200,000",5.39,Increase
156,3-Aug-17,0.355855856,220.18,225.34,223.07,"557,217,000","20,640,100,000",-2.27,Decrease
157,4-Aug-17,0.318965517,225.31,223.07,256.51,"539,783,000","21,125,600,000",33.44,Increase
158,5-Aug-17,0.452282158,222.85,256.51,261.57,"1,333,000,000","20,900,000,000",5.06,Increase
159,6-Aug-17,0.30875576,256.42,261.57,269.18,"1,482,980,000","24,053,500,000",7.61,Increase
160,7-Aug-17,0.368663594,261.24,269.18,296.77,"935,727,000","24,511,000,000",27.59,Increase
161,8-Aug-17,0.636752137,269.1,296.77,296.03,"1,502,410,000","25,254,600,000",-0.74,Decrease
162,9-Aug-17,0.462365591,297.63,296.03,295.89,"2,638,580,000","27,938,700,000",-0.14,Decrease
163,10-Aug-17,0.548736462,296.96,295.89,308.86,"1,076,820,000","27,882,200,000",12.97,Increase
164,11-Aug-17,0.388888889,294.5,308.86,310.6,"953,576,000","27,657,000,000",1.74,Increase
165,12-Aug-17,0.30875576,308.71,310.6,298.06,"1,111,650,000","28,998,700,000",-12.54,Decrease
166,13-Aug-17,0.568,310.37,298.06,300.1,"1,369,370,000","29,161,100,000",2.04,Increase
167,14-Aug-17,0.777429467,298.03,300.1,289.82,"864,391,000","28,008,700,000",-10.28,Decrease
168,15-Aug-17,0.47112462,299.95,289.82,302.27,"1,051,800,000","28,195,800,000",12.45,Increase
169,16-Aug-17,0.165919283,289.82,302.27,301.46,"967,643,000","27,249,700,000",-0.81,Decrease
170,17-Aug-17,0.257918552,302.81,301.46,295.59,"909,494,000","28,477,500,000",-5.87,Decrease
171,18-Aug-17,0.819327731,301.7,295.59,297.47,"936,160,000","28,380,200,000",1.88,Increase
172,19-Aug-17,0.261044177,296.18,297.47,301.43,"860,202,000","27,867,900,000",3.96,Increase
173,20-Aug-17,0.380530973,296.64,301.43,321.59,"571,947,000","27,918,100,000",20.16,Increase
174,21-Aug-17,0.666666667,300.48,321.59,314.79,"2,448,970,000","28,285,500,000",-6.8,Decrease
175,22-Aug-17,0.408450704,321.06,314.79,317.52,"1,336,400,000","30,229,900,000",2.73,Increase
176,23-Aug-17,0.632478632,315.27,317.52,325.61,"811,990,000","29,691,900,000",8.09,Increase
177,24-Aug-17,0.306976744,317.45,325.61,331.92,"697,665,000","29,904,600,000",6.31,Increase
178,25-Aug-17,0.328205128,326.11,331.92,333.88,"760,329,000","30,727,900,000",1.96,Increase
179,26-Aug-17,0.331950207,331.99,333.88,347.89,"514,181,000","31,288,300,000",14.01,Increase
180,27-Aug-17,0.56302521,334.36,347.89,347.75,"633,370,000","31,517,500,000",-0.14,Decrease
181,28-Aug-17,0.757847534,350.04,347.75,370.67,"854,319,000","33,002,700,000",22.92,Increase
182,29-Aug-17,0.355102041,347.96,370.67,378.49,"1,220,030,000","32,813,200,000",7.82,Increase
183,30-Aug-17,0.474708171,369.47,378.49,383.04,"1,333,320,000","34,848,400,000",4.55,Increase
184,31-Aug-17,0.575,378.44,383.04,387.74,"706,254,000","35,701,500,000",4.7,Increase
185,1-Sep-17,0.489051095,383.47,387.74,348.98,"874,222,000","36,182,900,000",-38.76,Decrease
186,2-Sep-17,0.589090909,387.82,348.98,347.48,"1,483,600,000","36,601,200,000",-1.5,Decrease
