,Date,Sentiment,Open,Close,NextDayClose,Volume,MarketCap,NextDayChange,Change
272,5-May-16,0.445714286,9.4,9.83,9.35,"18,296,200","749,038,000",-0.48,Decrease
273,6-May-16,0.668269231,9.81,9.35,9.37,"21,510,600","782,261,000",0.02,Increase
274,7-May-16,0.111731844,9.32,9.37,9.48,"10,806,500","743,166,000",0.11,Increase
275,8-May-16,0.337209302,9.37,9.48,9.3,"15,031,000","748,030,000",-0.18,Decrease
276,9-May-16,0.382352941,9.49,9.3,9.36,"13,085,300","758,000,000",0.06,Increase
277,10-May-16,0.212121212,9.28,9.36,10,"9,321,790","741,417,000",0.64,Increase
278,11-May-16,0.510791367,9.43,10,10.06,"15,267,500","753,600,000",0.06,Increase
279,12-May-16,0.464285714,10,10.06,10.51,"24,137,700","798,952,000",0.45,Increase
280,13-May-16,0.191111111,10.06,10.51,10.24,"31,276,900","804,647,000",-0.27,Decrease
281,14-May-16,-0.007633588,10.51,10.24,9.96,"18,808,000","840,395,000",-0.28,Decrease
282,15-May-16,0.538461538,10.24,9.96,11.17,"9,218,400","819,399,000",1.21,Increase
283,16-May-16,0.11409396,9.97,11.17,12.2,"29,079,900","798,116,000",1.03,Increase
284,17-May-16,0.297560976,11.19,12.2,13.56,"37,198,700","896,505,000",1.36,Increase
285,18-May-16,0.232365145,12.18,13.56,14.77,"65,389,900","975,878,000",1.21,Increase
286,19-May-16,0.411764706,13.54,14.77,13.64,"53,757,500","1,085,570,000",-1.13,Decrease
287,20-May-16,0.375,14.85,13.64,14.02,"50,544,100","1,191,080,000",0.38,Increase
288,21-May-16,-0.063492063,13.69,14.02,14.29,"24,648,400","1,098,220,000",0.27,Increase
289,22-May-16,0.194444444,14.04,14.29,13.46,"17,938,900","1,126,810,000",-0.83,Decrease
290,23-May-16,0.646666667,14.28,13.46,12.73,"23,842,800","1,146,470,000",-0.73,Decrease
291,24-May-16,0.141891892,13.31,12.73,12.53,"41,560,600","1,068,670,000",-0.2,Decrease
292,25-May-16,0.229813665,12.79,12.53,12.43,"27,444,700","1,027,940,000",-0.1,Decrease
293,26-May-16,0.399141631,12.52,12.43,11.3,"20,764,000","1,006,080,000",-1.13,Decrease
294,27-May-16,0.568,12.39,11.3,11.89,"57,496,400","996,293,000",0.59,Increase
295,28-May-16,-0.225165563,11.33,11.89,12.35,"47,274,800","911,724,000",0.46,Increase
296,29-May-16,0.512345679,12.11,12.35,12.73,"28,598,400","974,784,000",0.38,Increase
297,30-May-16,0.699300699,12.33,12.73,14.08,"14,733,800","992,329,000",1.35,Increase
298,31-May-16,-0.084656085,12.74,14.08,14,"42,433,400","1,026,410,000",-0.08,Decrease
299,1-Jun-16,0.042553191,14.11,14,13.74,"22,471,300","1,136,900,000",-0.26,Decrease
300,2-Jun-16,0.391566265,13.99,13.74,13.85,"10,477,200","1,127,830,000",0.11,Increase
301,3-Jun-16,0.241860465,13.74,13.85,13.74,"22,981,500","1,108,220,000",-0.11,Decrease
302,4-Jun-16,0.529661017,13.86,13.74,13.97,"15,792,400","1,118,460,000",0.23,Increase
